,date,sentiment score
0,2020-10-01,-0.198544
1,2020-10-02,0.020528333333333332
4,2020-10-05,-0.07548634113712376
5,2020-10-06,0.08527857142857145
6,2020-10-07,-0.0009467391304347813
7,2020-10-08,-0.03920434782608696
8,2020-10-09,-0.01911153846153846
11,2020-10-12,0.14694924812030075
12,2020-10-13,0.034482608695652166
13,2020-10-14,0.01701538461538461
14,2020-10-15,-0.0273047619047619
15,2020-10-16,0.04827391304347826
18,2020-10-19,-0.4024820833333334
19,2020-10-20,-0.04005
20,2020-10-21,-0.19116875000000005
21,2020-10-22,0.0019040000000000055
22,2020-10-23,-0.03217916666666667
25,2020-10-26,-0.12045416666666665
26,2020-10-27,-0.034552173913043466
27,2020-10-28,-0.05922758620689656
28,2020-10-29,-0.04472000000000003
29,2020-10-30,-0.020404347826086952
32,2020-11-02,-0.04785484848484847
33,2020-11-03,-0.04142083333333333
34,2020-11-04,0.15184062499999992
35,2020-11-05,0.04337857142857143
36,2020-11-06,-0.1151176470588235
39,2020-11-09,-0.36691633403361334
40,2020-11-10,-0.02677499999999999
41,2020-11-11,-0.2170604395604396
42,2020-11-12,-0.06886363636363636
43,2020-11-13,-0.11169411764705883
46,2020-11-16,-0.2711866666666667
47,2020-11-17,-0.057105263157894735
48,2020-11-18,-0.14548124999999998
49,2020-11-19,-0.17670000000000002
50,2020-11-20,-0.09337000000000002
53,2020-11-23,-0.12558412698412702
54,2020-11-24,-0.05726428571428571
55,2020-11-25,0.15698333333333336
